,Consumer prices,Consumer Price Index: 2000Q4 = 100,"Housing taxes, Denmark","Housing taxes, Copenhagen",Mortgage rate,Administration margins,Rentefradrag,Gamma,Inflation Yearly,Real Disposible Income 2000Q4 = 100,Real Disposible Income Copenhagen 2000Q4 = 100,"Disposable income, Denmark","Disposable income, Copenhagen","Housing stock, Denmark / 1000","Housing stock, Denmark",Housing stock CPH / 1000,"Housing stock, Copenhagen",Real House Price Denmark 2000Q4 = 100,"House price, Denmark 2006=100",Real Flat Price Copenhagen 2000Q4 = 100,"Flat price, Copenhagen 2006=100",
1996q1,0.759,90.613,0.014,0.012,0.086,0.600,0.481,0.039,0.019,99.020,88.294,543.8797,52.380,1453.393,1453393.052,100.559,100559.050,74.521,39.300,50.593,18.200,-113.551
1996q2,0.764,91.100,0.014,0.011,0.086,0.575,0.481,0.039,0.019,99.274,89.882,548.2044,53.608,1456.038,1456037.578,100.924,100924.278,76.009,40.300,51.981,18.800,-112.274
1996q3,0.768,91.636,0.013,0.011,0.085,0.575,0.481,0.038,0.019,97.391,88.368,540.968,53.015,1458.682,1458682.104,101.290,101289.506,77.814,41.500,53.327,19.400,-111.245
1996q4,0.774,92.350,0.013,0.011,0.081,0.575,0.481,0.035,0.019,98.567,90.603,551.7638,54.780,1461.327,1461326.630,101.655,101654.735,80.376,43.200,54.824,20.100,-110.065
1997q1,0.774,92.363,0.013,0.011,0.078,0.575,0.477,0.035,0.019,96.632,88.140,541.0106,53.298,1463.986,1463986.012,102.020,102019.963,82.411,44.300,54.816,20.100,-110.988
1997q2,0.778,92.886,0.013,0.011,0.078,0.575,0.477,0.034,0.020,98.652,91.000,555.4496,55.340,1466.675,1466675.109,102.385,102385.191,84.166,45.500,56.948,21.000,-109.771
1997q3,0.784,93.492,0.013,0.011,0.075,0.575,0.477,0.032,0.020,99.328,92.064,562.9061,56.351,1469.364,1469364.206,102.750,102750.419,85.458,46.500,57.926,21.500,-110.415
1997q4,0.786,93.770,0.013,0.011,0.074,0.575,0.477,0.037,0.015,99.301,92.001,564.4256,56.480,1472.053,1472053.303,103.116,103115.647,86.121,47.000,59.366,22.100,-110.597
1998q1,0.790,94.241,0.013,0.010,0.068,0.575,0.463,0.029,0.020,100.846,93.944,576.0851,57.963,1474.785,1474785.156,103.052,103051.540,87.331,47.900,65.484,24.500,-106.658
1998q2,0.792,94.472,0.012,0.010,0.065,0.575,0.463,0.030,0.017,99.706,92.755,570.9666,57.369,1477.603,1477602.521,102.129,102128.762,90.756,49.900,69.590,26.100,-104.730
1998q3,0.794,94.786,0.013,0.009,0.064,0.575,0.463,0.033,0.014,101.982,96.490,585.9429,59.878,1480.420,1480419.887,101.206,101205.983,91.724,50.600,73.080,27.500,-103.023
1998q4,0.793,94.626,0.013,0.009,0.065,0.575,0.463,0.038,0.009,101.134,96.381,580.0853,59.709,1483.237,1483237.253,100.283,100283.205,93.332,51.400,76.132,28.600,-101.753
1999q1,0.798,95.262,0.012,0.009,0.063,0.575,0.430,0.037,0.011,97.584,93.498,563.4889,58.312,1486.132,1486131.907,99.619,99619.320,94.152,52.200,78.797,29.800,-99.144
1999q2,0.801,95.586,0.012,0.009,0.064,0.575,0.430,0.037,0.012,96.587,93.567,559.6303,58.554,1489.181,1489181.137,99.473,99473.221,95.270,53.000,83.009,31.500,-94.988
1999q3,0.810,96.695,0.012,0.009,0.072,0.575,0.430,0.033,0.020,102.770,103.044,602.3621,65.233,1492.230,1492230.367,99.327,99327.122,95.954,54.000,85.183,32.700,-93.423
1999q4,0.819,97.739,0.012,0.009,0.075,0.575,0.430,0.022,0.033,99.372,99.672,588.7346,63.779,1495.280,1495279.597,99.181,99181.023,95.106,54.100,85.562,33.200,-93.653
2000q1,0.823,98.228,0.014,0.010,0.074,0.575,0.368,0.030,0.031,97.478,97.837,580.4057594,62.919,1498.422,1498422.133,99.039,99038.509,96.031,54.900,90.521,35.300,-90.353
2000q2,0.826,98.569,0.014,0.010,0.075,0.575,0.368,0.030,0.031,99.223,100.191,592.8423825,64.656,1501.751,1501751.281,98.903,98903.168,98.314,56.400,94.296,36.900,-88.236
2000q3,0.832,99.249,0.014,0.010,0.075,0.575,0.368,0.035,0.026,99.775,100.558,600.2521746,65.340,1505.080,1505080.429,98.768,98767.826,99.891,57.700,96.189,37.900,-86.791
2000q4,0.838,100.000,0.014,0.010,0.074,0.575,0.368,0.037,0.023,100.000,100.000,606.159624,65.470,1508.410,1508409.577,98.632,98632.485,100.000,58.200,100.000,39.700,-83.426
2001q1,0.841,100.390,0.014,0.010,0.072,0.575,0.342,0.039,0.022,102.448,101.733,623.422242,66.864,1511.818,1511818.360,98.523,98523.372,101.494,59.300,105.131,41.900,-80.669
2001q2,0.848,101.193,0.014,0.010,0.067,0.575,0.342,0.031,0.027,102.034,100.251,625.8678006,66.417,1515.386,1515386.413,98.467,98466.715,101.877,60.000,108.529,43.600,-79.645
2001q3,0.853,101.721,0.014,0.010,0.066,0.575,0.342,0.032,0.025,102.760,100.567,633.6072892,66.974,1518.954,1518954.466,98.410,98410.058,102.531,60.700,113.166,45.700,-75.761
